PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
20181211674,05/01/2018,2201,300 E OLTORF ST,3111660,10059744,HE,Council District 9,TRAVIS COUNTY,78704,23.08,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,NO,,
20181241530,05/04/2018,2041,1300 E 51ST ST,3125563,10085324,ID,Council District 4,TRAVIS COUNTY,78723,21.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181461623,05/26/2018,2131,1330 SHORE DISTRICT DR,3119387,10062086,HE,Council District 3,TRAVIS COUNTY,78741,23.04,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181280049,05/08/2018,30,600 N LAMAR BLVD,3110738,10072031,BA,Council District 9,TRAVIS COUNTY,78703,12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181421224,05/22/2018,1748,W KOENIG LN / GUADALUPE ST,3119827,10091049,ID,Council District 4,TRAVIS COUNTY,78752,15.03,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,BLACK,NO,,
20181500251,05/30/2018,549,4000 S US 183 HWY NB,3133231,10043878,HE,Council District 2,TRAVIS COUNTY,78719,9800,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181200065,04/30/2018,247,12625 N IH 35 NB,3134744,10122646,ED,Council District 7,TRAVIS COUNTY,78753,18.39,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181341839,05/15/2018,202,800 BLOCK W CESAR CHAVEZ ST,3111236,10070033,GE,Council District 9,TRAVIS COUNTY,78701,12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181661834,06/15/2018,2145,500 PEDERNALES ST,3123104,10067330,CH,Council District 3,TRAVIS COUNTY,78702,9.02,,Moving Traffic Violation,M,BLACK,NO,,
20181521256,06/01/2018,1621,9409 STONELAKE BLVD,3114128,10113371,AD,Council District 7,TRAVIS COUNTY,78759,17.53,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181660119,06/15/2018,127,7200 E US 290 HWY SVRD EB,3133046,10090949,ID,Council District 1,TRAVIS COUNTY,78723,21.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,PROBABLE CAUSE,NOTHING
20181660119,06/15/2018,127,7200 E US 290 HWY SVRD EB,3133046,10090949,ID,Council District 1,TRAVIS COUNTY,78723,21.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
